station,total,nLesbian,pLesbian,nHask,pHask,nFask,pFask,nHomo,pHomo,label,x,y,lengthmean
duroc,10,0.0,0.0,1.0,0.1,9.0,0.9,0.0,0.0,Duroc,18.846,50.882,534.3
ecole-militaire,9,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,École Militaire,18.18,51.337,487.55555555555554
ecole-veterinaire-de-maisons-alfort,6,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,École Vétérinaire de Maisons-Alfort,25.068,48.998,550.1666666666666
edgar-quinet,5,0.0,0.0,1.0,0.2,4.0,0.8,0.0,0.0,Edgar Quinet,19.36,50.53,315.8
eglise-de-pantin,4,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.5,Église de Pantin,24.664,53.673,301.75
esplanade-de-la-defense,15,0.0,0.0,2.0,0.13333333333333333,12.0,0.8,1.0,0.06666666666666667,Esplanade de La Défense,14.801,53.367,395.06666666666666
etienne-marcel,5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,Étienne Marcel,20.788,51.899,486.4
europe,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Europe,19.231,52.804,268.6666666666667
exelmans,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Exelmans,15.448,50.655,325.5
faidherbe-chaligny,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Faidherbe — Chaligny,22.905,51.081,862.0
falguiere,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Falguière,18.9,50.738,511.0
felix-faure,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Félix Faure,17.366,50.637,662.0
filles-du-calvaire,6,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,0.0,0.0,Filles du Calvaire,21.846,51.856,254.5
franklin-d-roosevelt,42,0.0,0.0,8.0,0.19047619047619047,30.0,0.7142857142857143,4.0,0.09523809523809523,Franklin D. Roosevelt,18.41,52.21,493.5
gabriel-peri,3,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,Gabriel Péri,17.59,54.999,143.33333333333334
